男,山口県,655,26,28,30,33,30,30,34,37,47,45,38,40,45,60,45,37,28,24
男,徳島県,354,14,14,15,17,15,16,19,21,25,24,22,23,26,34,23,19,15,13
男,香川県,469,19,21,22,24,20,21,25,28,36,34,28,29,31,41,30,24,19,17
男,愛媛県,645,26,29,30,33,27,29,34,38,47,44,40,41,45,58,41,34,26,23
男,高知県,336,12,14,15,17,14,13,17,20,24,23,20,22,24,31,23,19,15,14
男,福岡県,2415,113,118,115,125,136,123,144,160,183,173,146,146,157,194,134,109,77,62
男,佐賀県,389,18,20,20,22,17,18,22,24,27,25,23,26,29,33,21,18,14,13
男,長崎県,636,28,30,31,33,26,28,33,36,42,42,39,44,49,58,38,32,26,22
男,熊本県,833,38,41,41,43,37,39,46,51,56,52,50,54,61,71,48,40,34,30
男,大分県,546,23,25,25,28,24,25,29,33,39,36,32,34,39,49,34,28,23,20
男,宮崎県,512,23,26,26,26,20,21,26,31,35,32,30,34,39,46,30,26,22,18
男,鹿児島県,763,35,38,38,38,30,32,40,45,49,46,47,53,62,69,43,39,32,28
男,沖縄県,709,42,43,42,42,37,38,44,46,54,50,44,46,48,48,26,26,20,15
女,北海道,2814,88,97,103,114,114,119,139,159,192,191,178,177,194,251,193,177,149,180
女,青森県,678,21,23,26,29,23,24,31,35,42,44,42,47,51,61,46,44,42,48
女,岩手県,651,21,23,26,28,23,25,30,35,40,40,39,42,47,55,42,43,41,51
女,宮城県,1188,42,46,48,53,59,59,66,73,82,78,71,73,80,96,67,63,59,72
女,秋田県,528,14,17,19,20,14,17,22,26,31,31,31,36,42,49,37,37,38,48
女,山形県,571,19,21,23,25,19,22,27,31,35,34,33,38,41,48,35,35,36,50
女,福島県,951,33,35,40,45,33,39,46,52,60,59,57,64,70,81,57,56,54,72
女,茨城県,1450,52,58,63,69,60,62,74,84,101,101,88,88,99,124,96,82,65,84
女,栃木県,983,36,40,43,45,39,44,53,59,70,68,60,60,68,82,61,53,44,57
女,群馬県,992,35,39,43,48,42,41,48,56,70,70,61,58,64,82,66,57,48,63
女,埼玉県,3662,138,147,153,168,191,180,201,226,278,284,236,205,214,288,246,208,148,149
女,千葉県,3143,114,124,130,141,152,150,171,193,236,242,199,177,188,253,215,180,134,143
女,東京都,6964,264,250,240,272,416,442,477,501,558,562,467,378,343,438,385,354,296,320
女,神奈川県,4590,174,185,189,208,242,232,260,294,358,375,311,258,246,329,282,249,191,208
女,新潟県,1169,39,44,47,52,44,47,56,64,77,74,69,71,80,100,74,71,68,93
女,富山県,544,18,20,22,25,19,21,25,29,38,38,32,31,34,47,39,34,31,41
女,石川県,591,22,24,25,28,26,26,29,33,42,41,35,35,36,49,39,33,29,39
女,福井県,401,15,17,18,19,15,17,20,22,27,26,24,25,26,33,24,23,22,30
女,山梨県,421,15,16,18,20,18,17,19,22,27,29,27,26,28,34,27,25,22,30
女,長野県,1064,38,43,46,50,36,42,49,58,72,72,65,64,67,86,70,64,58,85
女,岐阜県,1035,37,43,46,50,45,43,50,57,71,72,64,62,65,86,68,62,52,63
女,静岡県,1866,69,77,80,85,69,80,95,107,129,132,115,112,118,154,123,112,93,115
女,愛知県,3761,157,167,169,182,195,195,218,236,285,287,236,208,203,273,227,201,156,167
女,三重県,923,33,38,40,44,38,40,46,51,64,65,57,56,58,75,60,54,47,58
女,滋賀県,716,30,33,34,36,35,34,39,45,53,51,44,42,42,54,41,35,30,38
女,京都府,1357,47,50,53,60,80,66,71,78,97,97,83,74,76,110,91,80,65,79
女,大阪府,4583,165,174,183,208,238,234,252,275,344,359,296,249,246,350,303,279,211,215
女,兵庫県,2879,105,114,119,133,133,127,146,167,209,215,184,171,172,230,189,167,138,160
女,奈良県,712,24,27,29,33,34,30,34,38,48,51,45,43,45,61,50,44,34,41
女,和歌山県,501,17,18,20,23,18,19,23,25,32,34,32,32,33,43,35,32,29,36
女,鳥取県,295,11,12,12,13,10,12,14,16,19,18,17,18,21,25,18,17,17,25
女,島根県,355,13,14,14,16,11,13,16,18,22,21,19,21,24,31,24,22,23,34
女,岡山県,991,37,40,41,46,48,45,51,54,68,65,56,56,59,79,66,57,52,70
女,広島県,1457,57,61,62,66,65,65,75,84,103,102,85,83,87,116,97,83,71,93
女,山口県,727,24,27,29,32,27,27,33,37,46,46,40,42,48,66,53,49,44,57
女,徳島県,389,13,14,15,17,14,15,19,21,25,25,23,24,27,35,25,23,23,31
女,香川県,499,18,20,21,23,18,20,24,28,35,33,28,29,32,43,33,29,27,37
女,愛媛県,719,24,27,29,31,25,28,34,38,47,46,43,44,49,64,49,45,41,55
女,高知県,377,12,13,14,16,12,13,17,19,24,24,21,23,25,34,27,24,23,34
女,福岡県,2692,107,112,110,119,135,129,151,167,189,182,158,157,169,216,161,147,126,156
女,佐賀県,434,17,19,19,21,17,18,22,24,27,26,25,27,30,35,25,25,23,32
女,長崎県,718,26,28,29,32,26,28,33,38,44,44,43,47,52,62,45,45,41,55
女,熊本県,933,37,39,39,41,37,40,47,52,58,55,55,59,65,75,55,54,52,71
女,大分県,607,22,24,24,27,22,24,29,33,39,37,34,37,42,53,41,38,35,47
女,宮崎県,577,22,25,25,26,20,22,28,32,36,34,33,37,42,50,35,34,33,43
女,鹿児島県,863,33,36,36,37,32,35,43,48,52,50,50,56,64,70,49,51,50,71
女,沖縄県,734,40,41,39,40,35,38,46,48,53,50,44,45,47,48,28,31,28,34
